id,source,comment,sentiment
38999,vaahaka.com,މި ބައިވެސް ވަރަށް ރީތި. ޝުކުރިއްޔާ އަފާ ކޮއްކޮ. 17 ވަނަ ބަޔަށްވެސް އިންތިޒާރު ކުރާނަން. އަފާ ކޮއްކޮއަށް ބާއްޖަވެރި ދުވަސްތަކަކަށް އެދެން.,1
39000,vaahaka.com,♥️♥️ޝުކުރިއްޔާ ޒޯއީ,1
39001,vaahaka.com,އިންޝާ ﷲ މިރޭ އަޕްކުރާނަން,1
39002,vaahaka.com,"1 ސައުބާން
19 މޭ 1558
އެއީ ސަހީދުން ގެ ދުވަސް",1
39003,vaahaka.com,ބާއި އުން👋 ގުޑް ނަޓް😴😴ލަވް ޔޫ💋💋އެސް އަ ފްރެންޑް😒😒,1
39004,vaahaka.com,ބާއި👋👋👋👋,1
39005,vaahaka.com,ޔާ.. ދެން ނެތް މާ ގިނަ ޕަސެންޓެއް..😟😟😟😟,0
39006,vaahaka.com,ތޭންކްސް ޑެއިސީ..😁😁😁,1
39007,vaahaka.com,އުން ދިޔައީތަ؟,1
39008,vaahaka.com,"ހޭ.. ދެން މިހެން ހުރެވޭކަށް ނެތޭ.. ގުޑް ނައިޓް އޯލް.. ސީޔޫ އޯލް ޓުމޯރު.. ބަޓް ހޭލާ ގޮތަކަށް ނޫން.. ހޭލާގޮތަށް ޖެހޭނީ ފޯނު ޗާޖަށް ޖަހަން&#8230; ބާއި ގާއިޒް..💤💤😴😴😴🌆🌆🌃🌃🌌🌌🌉🌉",1
39009,vaahaka.com,"ޔާރ&#8230;. ނުކުރާނަމޭ ދިމައެއް",0
39011,vaahaka.com,"ޔާ.. ދެން އެ ވާހަކަ ނުދައްކައްޗޭ&#8230; މިހާރު ބޯ ހޮވައިފި ހަމަ ރަނގަޅަށް ވެސް.. ދެން ނުކިޔާދެވޭނެ ހުރިހާ ކަމެއް.. ޕަބްލިކް ނޫނިއްޔާ ބުނާނީ😞😞😞😅😅",0
39012,vaahaka.com,މިހެން ބުނީމަ އުންއާ ދިމާ ނުކުރައްޗޭ..😟😟😟😟😟,1
39013,vaahaka.com,"އެހެންތަ&#8230;",1
39014,vaahaka.com,މުޅިއަކުން ދޮގެއް ނޫން.. ބަޓް އަދި އެ ބޯއި ނާހައި ޖީއެފް އަށް ވާކަށް..😁😁😅😅😅😅😅,1
39015,vaahaka.com,"ފިލާވަޅު ތަކާމެދު&#8230; ދެން ވިސްނާނެ އެހެން ކަންކަން ހުނާނެދޯ&#8230; އަސްލު މިއަދު ވަރަށް އުފާވެރި ކަމަކާ މެދު ވިސްނީ..😃😃😃",1
39017,vaahaka.com,"މަޝެއް އެހާ އަވަހަކައް ނުނިދާނަން&#8230;.",1
39019,vaahaka.com,ކޮންކަމަކާތަ އެވަރައް ވިސްނީ؟؟,1
39020,vaahaka.com,ދެން އޭއި ޑެއިސީ ނިދަނި ކޮންއިރަކުންނޯ😉😉😉,1
39021,vaahaka.com,މި އުޅެނި ބޯ ގޮވައިގެން.. މިއަދު މާ ގިނައިން ވިސްނަން ޖެހޭތީ..😩😩😩😩😩😅😅,1
39022,vaahaka.com,ވަރަށް ރީތި ⁦♥️⁩⁦♥️⁩⁦♥️⁩,1
39023,vaahaka.com,މިމީހުނައް ކިހިނެއްތަމިވަނީ؟؟,1
39025,vaahaka.com,އޯވް ނަސީބެއްނު😁😁😁,1
39026,vaahaka.com,ދެން އަޅޭ😩😩😩,1
39027,vaahaka.com,"އަޅޭ އައި އޭމް ހިއަރ&#8230;.",1
39028,vaahaka.com,އަޅުގަނޑު,1
39030,vaahaka.com,އިނގޭ އޭރުވެސް ނުހުރެވޭނެ ކަން😂,0
39031,vaahaka.com,އަޅެ ކޮންބައެއް އޮންގަ އިނީ😩😩😩,1
39032,vaahaka.com,ދެން އަޅެ ނުހުރެވިގެން މި އައީ😅😅,1
39033,vaahaka.com,"ހަހަހަ&#8230; ވަރައް ފޫހިވާތީ މިއޮތީ&#8230;.",0
39036,vaahaka.com,"އުން ވެސް ދިޔައީދޯ&#8230;. ސޯ ޑެއިސީ ވެސް ދަންވީ ދޯ&#8230;..

    
    
                           
                    
        

    
                        
                    
    1",1
39037,vaahaka.com,މިރޭ ހިޔެއް ނުވޭ އަޕްކޮށްލަދޭވެނެހެންނެއް 😘🥰 އިންޝާ ﷲ މާދަމާ އެއްވަނަ ބައި އަޕްކޮށްލަދެވޭތީ ޓްރައި ކުރާނަން 💖💖 އިންތިޒާރު ކޮށްލާ 🥰😘 ތޭންކްސް އަ ލޮޓް ރެޑްވައިން 🥰💖,1
39038,vaahaka.com,ޑެއިސީ މި ވެސް އުން ގެ އޭޖް ކުއްޖެކޭ😅😅,1
39039,vaahaka.com,އެއްވަނަ ބައި މާދަން އިންޝާ ﷲ 😘💖🥰 ތޭންކްސް @ދޮންތީ 😘🥰,1
39040,vaahaka.com,"ބަޓް ދެން އޯކޭ ވާނެ..💝💝💋💋

    
    
                           
                    
    1",1
39041,vaahaka.com,😞😞😞😞😞,0
39042,vaahaka.com,އިންޝާ ﷲ މާދަން 💖💖 ތޭންކްސް، ނުބުނާނަން ! 💖🥰,0
39043,vaahaka.com,ވަރަށް ބޮޑަށް ސޮރީ މާ ދިގު އިންތިޒާރެއް ކުރަން ޖެއްސުވުނުނަމަ 😅💖😘 ތޭންކްސް އިންޝާ ﷲ ވަރަށް އަވަހަށް އެއްވަނަ ޕާޓްވެސް އަޕްކޮށްލަދޭނަން 💖 ޝުކުރިއްޔާ މިސްޓަރ އޯލްވޭސް ޗާމިންގް 😘 ވަރަށް ބޮޑަށް އުފާވެއްޖެ ޝައިފްގެ ސަޕޯޓް ޔޫންއަށް ލިބޭތީ 💖🥰,1
39044,vaahaka.com,"ވަރަށް ރީތި

    
    
                           
                    
    1",1
39046,vaahaka.com,"އޯކޭ.. މޭބީ ވީ ހޭވް ޓު ގޯ.. ފޯނު ޗާޖު ދަނީ.. އަދި ޖެހޭނެ އެލާމް ކުރަން ވެސް.. ބާއި&#8230; ގުޑް ނައިޓް..😞😞😞😞🌆🌃🌌🌉🌌🌃🌆🌃🌌🌉🌌🌃🌆🌃🌌🌃🌆💤💤💤💤💤💤💤😴😴😴😴",1
39047,vaahaka.com,"މަ ބުނެފިންތަ ދީވާނަ ވެފައޭ މިހިރީ.. މަބުނީ އޭނަ ހާދަ ހޮޓޭ.. ބައިދަވޭ.. އޭނަ ހުންނަނީ މަލްސާމެން ގޭގަ.. މިބުނީ ވާހަކަ ލިޔާ މަލްކޮގެ ވާހަކަ&#8230;&#8230;

    
    
                           
                    
    1",0
39048,vaahaka.com,އާވްވް ތެންކިއު އިޒާ 💖😘 އޭންޖަލް ވާހަކައެއް ނޫން މީ 😅💖 އެކަމަކު ޓައިޓްލް ކިޔާލީމައި ވިންގްސް ލާފައި ހުންނަ ކުއްޖެއް ހުންނާނެ ކަން އެނގޭނެދޯ 💖 ވަރަށް އުފާވެއްޖެ އިޒާއަށް މިކަހަލަ ވާހަކަތައް ރީތިކަން އެނގުނީމައި 😘,1
39049,vaahaka.com,ޔޫ އުޅެނީ 10 ގަ ދޯ,1
39050,vaahaka.com,އަޅޭ.. އާންމުކޮށް އުން ނިދަނީ 3 ގަ.. އެހެންވެ.. އެންޑް އުންމީ ތިހީކުރާ ވަރު ކުޑަ ކުއްޖެއް ނޫން😉😉😁😁😁,1
39051,vaahaka.com,ތޭންކްސް ކައިލް 💖💖 ކައިލް ޔޫންގެ މަސައްކަތް އެޕްރިޝިއޭޓް ކުރާކަން އެނގުނީމަ ވަރަށް އުފާވެއްޖެ 😘 ކައިލްއަށްވެސް އުފާވެރި މުސްތަގުބަލަކަށް އެދެން 💖🥰😘,1
39052,vaahaka.com,"ވރރރރރ މަޖާ

    
    
                           
                    
    1",1
39053,vaahaka.com,"އާން ދޯ&#8230; މަވެސް އެހެންވެ ލެޕްއިން ގިނަފަހަރު ވާހަކަ ކިޔަނީ&#8230;",1
39054,vaahaka.com,މި ކަވާރ ޕިކް ހަދާދިން ކުއްޖާއަށް ޔޫންގެ ފަރާތުން ވަރަށް ބޮޑަށް ތެންކިއު 😘💖,1
39055,vaahaka.com,"އޭ&#8230; ނުދޭބަ.. އުން މި އައީ އޭ.. އުން ކުޑަ މަސައްކަތެއް ކުރަން ޖެހުނީ..😩😩😩😩",1
39056,vaahaka.com,"ސޮރީ ނުބައިކަން ލިޔެވުނީ
އަފާ އަޅުގަނޑު އައް ވުރެން ބޮޑު ވާހަކަ ބުނީ
މިހާރު ގޭޓު ވެއްޖެތަ ޕިންކި",1
39057,vaahaka.com,ތޭންކްސް ޑިއަރ 😘 ވަރަށް އުފާވެއްޖެ ތި ކިޔުންތެރިޔާގެ ސަޕޯޓް ލިބޭކަން އެނގުނީމައި 💖 ސޮރީ ތި ނޭމް ޕްރޮނައުންސް ކުރާކަށް ނޭނގުނު 😘💖 ބަޓް ހަމަ ވަރަށް ވަރަށް ބޮޑަށް ތެންކިއު 😘💖,1
39058,vaahaka.com,ލޮލް,0
39061,vaahaka.com,ތޭންކްސް އަ ލޮޓް އައިކަލް 🥰🥰💖 ވަރަށް އުފާވެއްޖެ އައިކަލްގެ ސަޕޯޓް އަދިވެސް ޔޫންއަށް ލިބޭނެކަން އެނގުނީމައި 😘😘 ތޭންކްސް އަ ލޮޓް 💖💖,1
39062,vaahaka.com,"އަޅޭ ހާދަ ފޯރި ގަދަ ވާނެއޭ ދޯ..؟؟ ބަޓް މައި މޮމް ނުދޭނެ އެހާ ގިނައިން ފޯނެއް.. އަމިއްލަ ފޯނެއް އޮތީމަވެސް ނުދޭނެ ބޭނުންހާ ގަޑިއަކު.. އެހެންވެ އަސްލު&#8230; އެހެން ނޫންނަމަ މިހާރު ޕިންކި ވެސް އެ ތަނަށް ޖޮއިން ވާނަން😅😅😟😟😟",1
39063,vaahaka.com,މިހާރު ބަލަނީ ބޭކާރު ކޮމް ނުކުރެވޭތޯ😔,1
39064,vaahaka.com,އޯވް ޔޫން މީ މާލެ ކުއްޖެއް 😘💖 ތޭންކްސް އެނޮނިމަސް 🥰😘💖,1
39065,vaahaka.com,ތެންކިއު އައިޝާ 🥰💖😘 އިންޝާ ﷲ މާދަން އެއްވަނަ ބައި އަޕްކޮށްލަދޭނަން އިނގޭ 💖💖 ތޭންކްސް އަ ލޮޓް 😘🥰,1
39066,vaahaka.com,"އުން ނިދާކަށް ނުވޭތަ&#8230; ކުޑަކުދިން އަވަހަށް ނިދަންވާނެ ޔޯ&#8230;. ހެހެހެ&#8230; ގުޑް ނައިޓް އޯލް",1
39067,vaahaka.com,އުން ކޮބާ މިހާރު؟,1
